"brand","title","type","price","priceWithCurrency","available","availableText","sold","lastUpdated","itemLocation"
"Elizabeth Taylor","PASSION by Elizabeth Taylor 2.5 oz edt New in Box Sealed","Eau de Toilette","20.48","US $20.48/ea","48","48 available / 620 sold","620","May 23, 2024 21:47:03 PDT","Dallas, Texas, United States"
"Parfums de Marly","PDM PARFUMS DE MARLY VALAYA EDP 1.5ml .05fl oz x 1 PERFUME SPRAY SAMPLE","Eau de Parfum","12","US $12.00","9","9 available / 29 sold","29","May 16, 2024 10:36:11 PDT","Albany, New York, United States"
"Clean","Clean Warm Cotton 2.14 oz EDP Perfume for Women Brand New Tester","Eau de Parfum","22.09","US $22.09","10","More than 10 available / 332 sold","332","May 23, 2024 10:33:18 PDT","Hackensack, New Jersey, United States"
"Juicy Couture","VIVA LA JUICY NOIR by Juicy Couture Perfume Women 3.4 oz edp 3.3 New in Box","Eau de Parfum","34.38","US $34.38/ea","131","131 available / 2,361 sold","2361","May 24, 2024 07:38:07 PDT","Dallas, Texas, United States"
"Juicy Couture","COUTURE LA LA Juicy Couture women perfume edp 3.4 oz 3.3 NEW IN BOX","Eau de Parfum","24.24","US $24.24/ea","251","251 available / 3,152 sold","3152","May 23, 2024 09:26:07 PDT","Dallas, Texas, United States"
"Giorgio Armani","Giorgio Armani My Way Parfum For Women 15ML/0.5fl.oz. New In Box & Sealed","Eau de Parfum","21.95","US $21.95/ea","10","More than 10 available / 8 sold","8","May 15, 2024 17:11:57 PDT","Pompano Beach, Florida, United States"
"Afnan","Mystique Bouquet by Afnan, 2.7 oz EDP Spray for Women","Eau De Parfum","39.89","US $39.89/ea","10","More than 10 available / 8 sold","8","May 09, 2024 16:00:11 PDT","Dallas, Texas, United States"
"Britney Spears","FANTASY Britney Spears women perfume edp 3.3 oz 3.4 NEW TESTER","Eau de Parfum","18.94","US $18.94/ea","235","235 available / 1,804 sold","1804","May 23, 2024 06:45:25 PDT","Dallas, Texas, United States"
"Jimmy Choo","JIMMY CHOO by Jimmy Choo 3.3 / 3.4 oz Spray EDT Perfume for Women Tester","Eau de Toilette","24.51","US $24.51",,"Last One / 601 sold","601","May 24, 2024 07:33:35 PDT","Dallas, Texas, United States"
"Lancôme","Miracle Perfume by Lancome 3.4 oz L'eau de Parfum Spray for Women NEW & SEALED","Eau de Parfum","32.99","US $32.99/ea","8","8 available / 238 sold","238","May 24, 2024 05:13:26 PDT","Hamtramck, Michigan, United States"
"Coach","Coach Dreams Sunset EDP 7.5ML Mini with Pouch","Eau de Parfum","16.95","US $16.95","10","More than 10 available / 15 sold","15","May 06, 2024 00:02:14 PDT","Tallman, New York, United States"
"Victoria's Secret","Victoria's Secret Bombshell - Enticing 3.4oz Perfume, Sealed in Box","Eau de Parfum","33.99","US $33.99/ea","7","7 available / 149 sold","149","May 22, 2024 08:28:50 PDT","Dearborn Heights, Michigan, United States"
"Burberry","Burberry Brit by Burberry 3.3 / 3.4 oz EDT Perfume for Women New In Box","Eau de Toilette","35.73","US $35.73/ea","557","557 available / 2,590 sold","2590","May 23, 2024 00:24:59 PDT","Dallas, Texas, United States"
"Estee Lauder","Sensuous by Estee Lauder, 1.7 oz EDP Spray for Women","Eau De Parfum","34.98","US $34.98/ea","10","More than 10 available / 131 sold","131","May 24, 2024 06:41:52 PDT","Edison, New Jersey, United States"
"Yves Saint Laurent","Libre By Yves Saint Laurent for Women EDT 3 oz / 90 ml *NEW IN SEALED BOX*","Eau de Parfum","59.96","US $59.96","4","4 available / 19 sold","19","May 19, 2024 00:50:26 PDT","CA.San Francisco, Hong Kong"
"Kilian","Angels' Share By Kilian 1.7 oz Eau de Parfum Spray Refillable 50ML NEW WITH BOX","Eau de Parfum","64.88","US $64.88/ea","5","5 available / 42 sold","42","May 24, 2024 02:15:36 PDT"," SAN FRANCISCO, CA, USA, Hong Kong"
"Lancôme","La Vie Est Belle by Lancome 3.4 oz 100 ml L'Eau De Parfum BRAND NEW SEALED BOX","Eau de Parfum","69.99","US $69.99/ea","9","9 available / 25 sold","25","May 09, 2024 03:18:01 PDT","Houston, Texas, United States"
"Calvin Klein","CK SHEER BEAUTY Calvin Klein women edt 3.4 oz 3.3 NEW IN BOX","Eau de Toilette","25.69","US $25.69/ea","11","11 available / 169 sold","169","May 22, 2024 22:59:20 PDT","Dallas, Texas, United States"
"Yves Saint Laurent","Yves Saint Laurent Libre Eau De Parfum EDP Spray For Women 3.0 Oz 90 ml New Seal","Eau de Parfum","49.68","US $49.68","10","More than 10 available / 21 sold","21","May 22, 2024 06:46:03 PDT","Houston, Texas, United States"
"Giorgio Armani","My Way by Giorgio Armani 3 oz EDP Perfume for Women New In Box fast shipping","Eau de Parfum","33.92","US $33.92","10","10 available / 3 sold","3","May 24, 2024 07:38:32 PDT","CA, China"
"Donna Karan","BE DELICIOUS Perfume DKNY Donna Karan 1.0 Oz 30 ml EDP Spray Women Without Box","Eau de Parfum","24.99","US $24.99/ea","10","More than 10 available / 370 sold","370","May 15, 2024 06:49:47 PDT","Piscataway, New Jersey, United States"
"Givenchy","Amarige by Givenchy EDT for Women 3.3oz  / 100ml *NEW IN SEALED BOX*","EDT","49.99","US $49.99","10","More than 10 available / 174 sold","174","Apr 15, 2024 10:19:25 PDT","Miami, Florida, United States"
"Narciso Rodriguez","Narciso Rodriguez for Her EDP 3.3oz - New Sealed Sophistication","Eau de Toilette","34.99","US $34.99/ea","6","6 available / 5 sold","5","May 23, 2024 10:31:01 PDT","Flat Lick, Kentucky, United States"
"ESCADA","Magnetism by Escada perfume for women EDP 2.5 oz New in Box","Eau de Parfum","30.45","US $30.45/ea","8","8 available / 738 sold","738","May 24, 2024 11:04:11 PDT","Dallas, Texas, United States"
"Lancôme","NEW & SEALED! Lancome Tresor In Love for Women L'Eau De Parfum Spray 2.5 oz 5D","L'Eau de Parfum","67.5","US $67.50","10","More than 10 available / 12 sold","12","","Mesa, Arizona, United States"
"Dolce&Gabbana","D&G DOLCE GABBANA 3 L'IMPERATRICE EDT 1.5ml Tester","Eau de Toilette","5.99","US $5.99","5","5 available / 3 sold","3","May 24, 2024 10:22:12 PDT","San Francisco, California, United States"
"Dossier","Dossier FRUITY ORANGE Eau de Parfum 1.7 Fl oz / 50 mL Perfume NEW IN BOX","Eau de Parfum","15","US $15.00/ea","10","More than 10 available / 65 sold","65","May 19, 2024 23:29:11 PDT","Los Angeles, California, United States"
"Ariana Grande","Ariana Grande God Is A Woman Eau De Parfum","Eau de Parfum","15.99","US $15.99","9","9 available / 35 sold","35","Apr 29, 2024 14:08:37 PDT","Bogota, New Jersey, United States"
"Viktor & Rolf","Viktor & Rolf Flowerbomb Ruby Orchid 3.4 oz. Eau de Parfum Spray","Eau de Parfum","79.72","US $79.72/ea","10","10 available / 334 sold","334","May 24, 2024 05:44:34 PDT","Katy, Texas, United States"
"Marc Jacobs","Marc Jacobs Daisy Eau So Fresh 4.2oz Women's Eau de Toilette Brand New & Sealed","Eau de Toilette","33.99","US $33.99/ea","3","3 available / 43 sold","43","May 21, 2024 22:58:35 PDT","Brooklyn, New York, United States"
"Dolce & Gabbana","L'Imperatrice by Dolce & Gabbana D&G 3.3 / 3.4 oz EDT Perfume for Women NIB","Eau de Toilette","39.98","US $39.98",,"Limited quantity available / 3,379 sold","3379","May 23, 2024 18:40:58 PDT","Hackensack, New Jersey, United States"
"Michael Kors","Michael Kors Sexy Amber by Michael Kors 3.4 oz EDP For Women Perfume New In Box","Eau de Parfum","44.99","US $44.99/ea","10","10 available / 1,647 sold","1647","May 21, 2024 07:09:03 PDT","Hackensack, New Jersey, United States"
"Lancôme","Idole by Lancome Eau de Parfum EDP Perfume for Women 2.5 oz New in Box","Eau de Parfum","44.95","US $44.95",,"Last One / 14 sold","14","May 23, 2024 00:21:14 PDT","Troy, New York, United States"
"Le Labo","Santal 33 by Le Labo, 3.4 oz EDP Spray for Unisex","Eau De Parfum","60.37","US $60.37","10","10 available / 9 sold","9","May 11, 2024 01:35:56 PDT"," SAN FRANCISCO, CA, USA, Hong Kong"
"Burberry","Burberry Her Blossom by Burberry 3.3 oz EDP Perfume for Women New in Box","Eau de Toilette","53.99","US $53.99/ea","2","2 available / 10 sold","10","May 22, 2024 09:37:26 PDT","New York, New York, Taiwan"
"Victoria's Secret","Victoria's Secret Tease Women's EDP Spray 3.4 oz 100ml New in Box","Eau de Parfum","30.99","US $30.99/ea","4","4 available / 89 sold","89","May 18, 2024 09:56:53 PDT","Detroit, Michigan, United States"
"Maison Alhambra","Delilah Perfumes EDP 3.4oz By Maison Alhambra Lattafa for Woman  Free Shipping","Eau de Parfum","23.9","US $23.90","10","More than 10 available / 2 sold","2","May 21, 2024 12:44:02 PDT","North Brunswick, New Jersey, United States"
"Kilian","Good Girl Gone Bad by Kilian 1.7 oz EDP REFILLABLE Spray. New Sealed Box","Eau de Parfum","99.99","US $99.99",,"Last One / 20 sold","20","May 17, 2024 04:42:34 PDT","Amigo, West Virginia, United States"
"Calvin Klein","CONTRADICTION by Calvin Klein 3.4 oz EDP Perfume For Women New in Box Sealed","Eau de Parfume","26.43","US $26.43/ea","96","96 available / 5,314 sold","5314","May 24, 2024 10:14:07 PDT","Dallas, Texas, United States"
"Dossier","Dossier WOODY OAKMOSS Eau de Parfum 1.7 Fl oz / 50 mL Perfume NEW IN BOX","Eau de Parfum","20","US $20.00/ea","2","2 available / 41 sold","41","May 05, 2024 23:15:34 PDT","Los Angeles, California, United States"
"Dolce&Gabbana","Light Blue by Dolce & Gabbana 3.3 oz / 3.4 oz 100mL EDT Spray Brand New Sealed","Eau de Toilette, Spray","29.95","US $29.95/ea","10","More than 10 available / 296 sold","296","May 24, 2024 10:55:00 PDT","West Orange, New Jersey, United States"
"Hollister","WAVE By Hollister California perfum for Women 3.3 / 3.4 oz EDP New Tester","Eau de Perfume","15.52","US $15.52/ea","26","26 available / 129 sold","129","May 20, 2024 07:35:20 PDT","Dallas, Texas, United States"
"Ralph Lauren","Ralph By Ralph Lauren EDT for Women 3.4 oz - 100 ml *NEW IN SEALED BOX*","Eau de Toilette","45.99","US $45.99","10","More than 10 available / 201 sold","201","May 08, 2024 11:22:02 PDT","Miami, Florida, United States"
"Ariana Grande","Cloud By Ariana Grande 3.4oz EDP Perfume Spray Fragrance for Women New in Box","Eau de Parfum","29.99","US $29.99/ea","9","9 available / 14 sold","14","May 23, 2024 12:18:02 PDT","Sayreville, New Jersey, United States"
"Glossier","Glossier You Eau de Parfum Rollerball (0.27oz /8mL) NEW","Eau de Parfum","27.31","US $27.31","10","More than 10 available / 5 sold","5","","Giddings, Texas, United States"
"Dolce Gabbana","Dolce Gabbana Queen EDP Perfume for Women 3.4 oz Eau de Parfum Spray New Box","Eau de Parfum","38.99","US $38.99/ea","3","3 available / 122 sold","122","May 21, 2024 22:55:56 PDT","California USA Hongkong, Hong Kong"
"Ralph Lauren","Romance by Ralph Lauren 3.4 oz EDP Perfume for Women New In Box","Eau de Parfum","45.92","US $45.92/ea",,"Limited quantity available / 3,009 sold","3009","May 24, 2024 11:02:02 PDT","Hackensack, New Jersey, United States"
"Chloe","CHLOE Perfume Eau De Parfum EDP Splash Mini 0.16oz 5 ml NEW with Box","Eau de Parfum","12.99","US $12.99","15","15 available / 36 sold","36","May 19, 2024 11:40:36 PDT","Laguna Niguel, California, United States"
"LANCOME","Lancome Idole Le Parfum  Spray  25ML/0.8 fl OZ New In Box","Eau de Parfum","26.99","US $26.99","10","More than 10 available / 44 sold","44","May 17, 2024 19:59:50 PDT","Villa Rica, Georgia, United States"
"Jimmy Choo","I Want Choo Forever by Jimmy Choo 3.3 oz EDP Perfume for Women New in Box","Eau de Parfum","58.61","US $58.61/ea",,"Limited quantity available / 770 sold","770","May 21, 2024 03:16:40 PDT","Hackensack, New Jersey, United States"
"Lancome","Poeme by Lancome 3.4 oz./ 100 ml. L'eau de Parfum Spray for Women in Sealed Box","L'eau de Parfum","86.99","US $86.99/ea","10","10 available / 1,385 sold","1385","May 23, 2024 18:19:08 PDT","Katy, Texas, United States"
"Victoria's Secret","VICTORIA SECRET TEASE 3.4 oz 100 ml Eau De Parfum Women's Spray","Eau de Parfum","54","US $54.00","4","4 available / 26 sold","26","May 20, 2024 21:25:03 PDT","Houston, Texas, United States"
"Natalie","Natalie Wood Signature Fragrance Spray Purse Travel Eau de Parfum Bottle .34 oz","Eau de Parfum","5.99","US $5.99/ea","196","196 available / 32 sold","32","May 21, 2024 06:32:29 PDT","Florence, South Carolina, United States"
"Paris Hilton","PARIS HILTON 3.4 / 3.3 oz edp Perfume for Women New in Box","Eau de Parfum","24.39","US $24.39/ea","123","123 available / 5,558 sold","5558","May 22, 2024 10:12:18 PDT","Dallas, Texas, United States"
"Calvin Klein","Calvin Klein Euphoria Eau de Parfum, 1.6 Oz new open box Scuffed","Eau de Parfum","22.99","US $22.99","10","More than 10 available / 347 sold","347","May 23, 2024 13:35:36 PDT","Brooklyn, New York, United States"
"Lattafa","Fakhar Lattafa 3.4 EDP Parfum Perfume for Women New in Box","Eau de Parfum","21.98","US $21.98","10","More than 10 available / 278 sold","278","May 24, 2024 05:18:15 PDT","Hackensack, New Jersey, United States"
"Parfums de Marly","Parfums de Marly Delina La Rosee by Parfums de Marly, 2.5oz EDP Spray  For Women","Eau de Parfum","76.99","US $76.99/ea","2","2 available / 13 sold","13","May 23, 2024 23:59:28 PDT","HK, Hong Kong"
"Coach","Coach Poppy Flower 3.4 oz  100 mL Eau De Parfum Spray Brand New in Box Sealed","Eau de Parfum","28.99","US $28.99/ea","8","8 available / 152 sold","152","May 24, 2024 06:27:25 PDT","Las Vegas, Nevada, United States"
"Victoria's Secret","Victoria's Secret Bombshell Women's 3.4 fl oz Eau de Parfum NEW IN BOX & SEALED","Eau de Parfum","33.89","US $33.89/ea","9","9 available / 216 sold","216","May 24, 2024 06:12:22 PDT","Las Vegas, Nevada, United States"
"Viktor & Rolf","Flowerbomb by Viktor & Rolf 3.4 oz L'Eau de Parfum Spray BRAND NEW SEALED IN BOX","Eau de Parfum","59.99","US $59.99/ea","10","More than 10 available / 150 sold","150","May 20, 2024 08:35:38 PDT","Ecorse, Michigan, United States"
"Kilian","*YOU PICK!* Kilian LOVE DON'T BE SHY, GOOD GIRL GONE BAD 1.5ml OFFICIAL Samples","Eau de Parfum","8.99","US $8.99","10","More than 10 available / 344 sold","344","May 07, 2024 20:15:06 PDT","Ashburnham, Massachusetts, United States"
"Dolce&Gabbana","Dolce & Gabbana DOLCE VIOLET Women Perfume 5ml EDT Splash MINI Travel Size (C61","Eau de Parfum","18.95","US $18.95/ea","8","8 available / 9 sold","9","May 20, 2024 13:18:54 PDT","Los Angeles, California, United States"
"Clinique","NEW Aromatics Elixir By Clinique For Women. Body Smoother 6.7 oz/200 ml","SKIN_MOISTURIZER","20.79","US $20.79","7","7 available / 33 sold","33","May 19, 2024 13:44:31 PDT","Plainfield, Illinois, United States"
"Parfums de Marly","Delina by Parfums de Marly 2.5 oz EDP Perfume for Women New in Box!","Perfume","89.99","US $89.99/ea","6","6 available / 7 sold","7","May 20, 2024 23:52:18 PDT","San Diego, California, United States"
"Ralph Lauren","Big Pony 2 Fruity Sensual by Ralph Lauren for women EDT 3.3 / 3.4 oz","Eau de Toilette","20.31","US $20.31/ea","8","8 available / 84 sold","84","May 15, 2024 09:11:16 PDT","Dallas, Texas, United States"
"Juicy Couture","VIVA LA JUICY ROSE COUTURE by Juicy Couture 3.4 oz EDP For Women New in Box","Eau de Parfum","34.6","US $34.60/ea","89","89 available / 1,833 sold","1833","May 24, 2024 10:13:07 PDT","Dallas, Texas, United States"
"Burberry","BURBERRY CLASSIC by Burberry perfume for women EDP 3.3 / 3.4 oz New in Box","Eau de Parfum","38.14","US $38.14/ea",,"Limited quantity available / 725 sold","725","May 24, 2024 08:55:13 PDT","Dallas, Texas, United States"
"Avon","Avon FAR AWAY Eau De Parfum Perfume Spray 1.7 oz~Free Travel spray","Eau de Parfum","16.89","US $16.89/ea","10","More than 10 available / 551 sold","551","May 07, 2024 09:26:07 PDT","West Palm Beach, Florida, United States"
"Elizabeth Arden","GREEN TEA CUCUMBER by Elizabeth Arden for Women 3.3 oz 100 ml Eau Toilette Spray","Eau de Toilette","12.95","US $12.95/ea","5","5 available / 24 sold","24","May 21, 2024 11:33:00 PDT","TX, United States"
"Jimmy Choo","Jimmy Choo Ladies I Want Choo Forever EDP Spray 3.38 oz (Tester) Fragrances","Eau de Parfum","49.81","US $49.81","3","3 available / 30 sold","30","May 23, 2024 10:45:18 PDT","Brooklyn, New York, United States"
"Narciso Rodriguez","Narciso Rodriguez for Her 3.3 fl oz Eau De Parfum Spray for Women New In Box","Eau de Parfum","34.99","US $34.99/ea","10","More than 10 available / 36 sold","36","May 23, 2024 07:54:33 PDT","Saint Clair Shores, Michigan, United States"
"Chaka by Chaka Khan","Chaka by Chaka Khan Energizing 3.4 oz. EDP-Open Box","EDP and Parfum","29.95","US $29.95","6","6 available / 19 sold","19","May 14, 2024 09:00:18 PDT","Clearwater, Florida, United States"
"Thierry Mugler","Alien by Thierry Mugler 3 oz EDP Perfume for Women New In Box","Perfume, Eau de Parfum","85.56","US $85.56/ea",,"Limited quantity available / 953 sold","953","May 23, 2024 06:32:37 PDT","Hackensack, New Jersey, United States"
"CHANEL","Chanel Chance Eau Fraiche Eau De Parfum 3.4 oz New & Sealed 100% Authentic","Eau de Parfum","119","US $119.00","2","2 available / 7 sold","7","May 23, 2024 13:17:54 PDT","Woodruff, South Carolina, United States"
"HUGO BOSS","Deep Red by Hugo Boss Perfume for women 3.0 oz edp New in Box","Eau de Parfum","27.26","US $27.26/ea","32","32 available / 4,977 sold","4977","May 24, 2024 10:39:07 PDT","Dallas, Texas, United States"
"Thierry Mugler","Angel by Thierry Mugler 3.4 oz Eau De Parfum Spray Refillable Star New & Sealed","Eau de Parfum","69.99","US $69.99/ea","2","2 available / 27 sold","27","May 20, 2024 08:22:23 PDT","Reinholds, Pennsylvania, United States"
"Valentino","Valentino DONNA by Valentino for Women 3.4 oz.Eau De Parfum Spray in Sealed Box","Eau de Parfum","99.99","US $99.99","10","More than 10 available / 5 sold","5","Apr 23, 2024 19:32:59 PDT","Katy, Texas, Hong Kong"
"Maison Margiela","Maison Margiela Replica Lazy Sunday Morning Eau de Toilette 3.4 oz New in Box US","Eau de Toilette","48.88","US $48.88","9","9 available / 51 sold","51","May 09, 2024 00:45:39 PDT","College Point, New York, United States"
"PRADA","Prada Candy by Prada 2.7oz / 80ml Eau De Parfum Brand New Sealed in Box","Eau de Parfum","48.99","US $48.99/ea","8","8 available / 37 sold","37","May 22, 2024 03:44:34 PDT","Warren, Michigan, United States"
"Marc Jacobs","Marc Jacobs Daisy Wild Eau De Parfum EDP Miniature Splash For Women 4 ml-NIB","Eau de Parfum","28.99","US $28.99","7","7 available / 3 sold","3","","Miami, Florida, United States"
"Maison Alhambra","Glacier Bold EDP Perfume By Maison Alhambra Lattafa 100 ML New Release","Eau de Parfum","37.99","US $37.99","10","More than 10 available / 16 sold","16","May 16, 2024 12:18:47 PDT","North Brunswick, New Jersey, United States"
"Davidoff","Cool Water by Davidoff EDT for Women 3.4 oz / 100 ml *NEW*","Eau de Toilette","20.99","US $20.99","4","4 available / 20 sold","20","Apr 30, 2024 11:44:27 PDT","Miami, Florida, United States"
"Jo Malone","Jo Malone Velvet Rose & Oud Cologne Intense Women's Eau de 3.4 fl oz/100ml","Eau de Cologne","86.99","US $86.99","4","4 available / 6 sold","6","May 08, 2024 16:32:50 PDT","Las Vegas, Nevada, United States"
"Juicy Couture","VIVA LA JUICY by Juicy Couture perfume for women EDP 3.3 / 3.4 oz New Tester","Eau de Perfume","29.55","US $29.55/ea","408","408 available / 886 sold","886","May 24, 2024 07:22:10 PDT","Dallas, Texas, United States"
"Lancôme","Set 2 Lancome Perfume La Vie Est Belle Eau de Parfum EDP Travel Size 4ml ea =8ml","Eau de Parfum","9.99","US $9.99","10","More than 10 available / 65 sold","65","May 22, 2024 22:50:24 PDT","Newark, Delaware, United States"
"Thierry Mugler","Aura Mugler by Thierry Mugler Eau de Parfum Miniature Splash Perfume for Women","Eau de Parfum","12.99","US $12.99","10","More than 10 available / 89 sold","89","May 22, 2024 11:13:32 PDT","Tallman, New York, United States"
"Dossier","Dossier FLORAL MARSHMALLOW Eau de Parfum 1.7 Fl oz / 50 mL Perfume NEW IN BOX","Eau de Parfum","26.9","US $26.90/ea","10","More than 10 available / 150 sold","150","May 06, 2024 12:18:45 PDT","Los Angeles, California, United States"
"Giorgi^o Armani","Sì Passione by Giorgio Armani For Women 3.4 Oz Eau De Parfum Spray New in Box","Eau de Parfum","44.78","US $44.78","2","2 available / 11 sold","11","May 22, 2024 00:02:51 PDT","Syracuse, New York, United States"
"Victoria's Secret","Victoria's Secret Heavenly Perfume Spray Eau de Parfum 3.4 oz 100 ml New Sealed","Eau de Parfum","34.99","US $34.99/ea","9","9 available / 110 sold","110","May 23, 2024 09:39:14 PDT","Laughlin, Nevada, United States"
"Victoria's Secret","BOMBSHELL Victoria's Secret PERFUME 2.5 Oz 75 ml Fine Fragrance Mist Spray WOMEN","Fine Fragrance Mist","14.5","US $14.50","5","5 available / 17 sold","17","May 22, 2024 14:54:49 PDT","Lisle, Illinois, United States"
"Huda Beauty","kayali vanilla candy rock sugar | 42 HUDA BEAUTY Sample 1.5ml on card New","Eau de Parfum","14.95","US $14.95",,"Last One / 17 sold","17","May 23, 2024 13:54:40 PDT","Port Orange, Florida, United States"
"Lancôme","Idole by Lancome Eau de Parfum EDP Perfume for Women 2.5 oz New in Box","Eau de Parfum","42.99","US $42.99","2","2 available / 4 sold","4","May 24, 2024 02:59:43 PDT","Kew Gardens, New York, United States"
"Parfums de Marly","Parfums deMarly Delina by Parfums de Marly 2.5 ozEau De Parfum Spray For Women","Lotion","100.99","US $100.99",,"Last One / 15 sold","15","May 22, 2024 19:00:39 PDT","Jefferson, Texas, United States"
"Bellie Eilish","Eilish by Bellie Eilish 3.4 oz / 100 ml EDP Perfume Spray for Women New In Box","Eau de Parfum","49.99","US $49.99/ea","4","4 available / 38 sold","38","May 22, 2024 19:14:47 PDT","USA,California, Hong Kong"
"Viktor & Rolf","VIKTOR & ROLF FLOWERBOMB EAU DE PARFUM TRAVEL SIZE SPRAY VAIL 0.1FL.OZ/3ML","Eau de Parfum","9.99","US $9.99","10","More than 10 available / 10 sold","10","","Hicksville, New York, United States"
"Estée Lauder","Estee Lauder Beautiful 2.5 fl oz Eau de Parfum Factory Sealed New","Eau de Parfum","28.15","US $28.15",,"Last One / 123 sold","123","May 24, 2024 01:26:16 PDT","Grafton, Wisconsin, United States"
"Lucky","LUCKY YOU by Lucky Brand 3.3 oz / 3.4 oz for Women edt Perfume tester","Eau de Toilette","14.74","US $14.74/ea","117","117 available / 889 sold","889","May 09, 2024 21:29:42 PDT","Dallas, Texas, United States"
"Ariana Grande","Ariana Grande Cloud Pink 3.4oz Authentic Pink Perfume Spray Sealed","Eau de Parfum","29.99","US $29.99/ea","10","More than 10 available / 29 sold","29","May 24, 2024 10:25:41 PDT","Detroit, Michigan, United States"
"Lancome","Miracle by Lancome Perfume for Women 3.4 oz edp New In Box","Eau de Parfum","35.99","US $35.99/ea","10","More than 10 available / 161 sold","161","May 19, 2024 08:02:19 PDT","Detroit, Michigan, United States"
"Givenchy","Hot Couture by Givenchy for Women EDP 3.3 oz - 100 ml *NEW IN SEALED BOX*","Eau de Parfum","49.99","US $49.99","10","More than 10 available / 230 sold","230","May 08, 2024 11:14:20 PDT","Miami, Florida, United States"
"Philosophy","Pure Grace Nude Rose Perfume by Philosophy for Women EDT 2 oz New","Eau de Toilette","19.05","US $19.05","8","8 available / 42 sold","42","","Joppa, Maryland, United States"
"Ariana Grande","Sweet Like Candy by Ariana Grande EDP Perfume for Women 3.4 oz Brand New Tester","Eau de Parfum","29.54","US $29.54/ea","10","More than 10 available / 1,372 sold","1372","May 24, 2024 07:30:03 PDT","Hackensack, New Jersey, United States"
"Carolina Herrera","Carolina Herrera_Good Girl Perfume 2.7 OZ BLACK SHIPS IN 24 HOURS SEALED Mujer","Perfume","47.8","US $47.80/ea","10","More than 10 available / 38 sold","38","May 08, 2024 13:25:03 PDT","Bakersfield, California, United States"
"Clinique","Roller Ball  Women Aromatics Elixir by Clinique 0.2 oz / 6 ml EDP Perfume Rare","Eau de Parfum","13.95","US $13.95/ea","10","More than 10 available / 57 sold","57","Mar 31, 2024 08:14:05 PDT","Keyport, New Jersey, United States"
"ALT Fragrances","ALT Fragrances - Executive No. 26 EDP (Inspired by Aventus), 3.4 oz / 100 ml","Extrait de Parfum","59.99","US $59.99","10","More than 10 available / 243 sold","243","May 24, 2024 09:40:02 PDT","Van Nuys, California, United States"
"Victoria's Secret","VICTORIA'S SECRET Tease Crème Cloud Eau de Parfum 3.4oz 100 ml  Women's Spray","Eau de Parfum","43","US $43.00","3","3 available / 27 sold","27","May 20, 2024 21:24:45 PDT","Houston, Texas, United States"
"Giorgio Beverly Hills","GIORGIO by Giorgio Beverly Hills 3 / 3.0 oz EDT Perfume for Women New In Box","Eau de Toilette","22.51","US $22.51/ea","189","189 available / 3,319 sold","3319","May 24, 2024 07:51:07 PDT","Dallas, Texas, United States"
"Versace","mini Yellow Diamond by Versace EDT Perfume for Women Brand New In Box","Eau de Toilette","9.92","US $9.92","10","More than 10 available / 5,971 sold","5971","May 20, 2024 23:10:53 PDT","Hackensack, New Jersey, United States"
"Givenchy","Amarige by Givenchy 3.3 / 3.4 oz EDT Perfume for Women New In Box","Eau de Toilette","47.65","US $47.65/ea",,"Limited quantity available / 5,349 sold","5349","May 24, 2024 00:47:58 PDT","Hackensack, New Jersey, United States"
"Jo Malone","Jo Malone Oud & Bergamot Cologne Intense Spray Women's Eau de 3.4 fl oz/100ml","Eau de Cologne","86.99","US $86.99","7","7 available / 9 sold","9","May 24, 2024 08:55:12 PDT","Las Vegas, Nevada, United States"
"Coach","Coach Dreams Sunset by Coach perfume for women EDP 3.0 oz New in Box","Eau de Parfum","41.58","US $41.58/ea","174","174 available / 298 sold","298","May 24, 2024 05:11:50 PDT","Dallas, Texas, United States"
"Britney Spears","MIDNIGHT FANTASY by Britney Spears for Women 3.3 / 3.4 oz edp tester","Eau de Parfum","16.87","US $16.87/ea","36","36 available / 626 sold","626","May 24, 2024 10:43:08 PDT","Dallas, Texas, United States"
"Gucci","Gucci Guilty Pour Femme by Gucci perfume for Women EDP 3.0 oz New Tester","Eau de Perfume","59.4","US $59.40/ea","50","50 available / 120 sold","120","May 17, 2024 00:06:51 PDT","Dallas, Texas, United States"
"PRADA","PRADA CANDY BY PRADA 2.7 FL OZ EAU DE PARFUM SPRAY BRAND NEW SEALED IN BOX","Eau de Parfum","43.99","US $43.99/ea","2","2 available / 121 sold","121","May 24, 2024 02:09:13 PDT","Houston, Texas, United States"
"TF","Lost Cherry Eau de Parfum 3.4 oz / 100ml For Women & Men","Eau de Parfum","69.99","US $69.99/ea","4","4 available / 7 sold","7","May 23, 2024 18:24:39 PDT","California,United States, Hong Kong"
"CHANEL","Chanel Coco Mademoiselle Eau de Parfum Sample Spray Vial 1.5ml/0.05oz","Eau de Parfum","12.99","US $12.99/ea","10","More than 10 available / 32 sold","32","May 14, 2024 15:38:52 PDT","Tarzana, California, United States"
"Juliette has a gun","Juliette Has A Gun Not A Perfume Eau De Parfum 5 ml .17 fl oz Travel Size NEW","Eau de Parfum","11.66","US $11.66/ea","2","2 available / 12 sold","12","May 15, 2024 21:40:55 PDT","Matawan, New Jersey, United States"
